comp	question	item_list	aspect_list	predicate_list	context_list	not question	dataset	question_NER	tokenized	pos	capri-tag
1	what was the biggest battle in the american revolution	battle in the american revolution	0	the biggest	0	0.0	g	what was the biggest battle in the _NAMED_ENTITY_ revolution	['what', 'was', 'the', 'biggest', 'battle', 'in', 'the', 'american', 'revolution']	['WP', 'VBD', 'DT', 'JJS', 'NN', 'IN', 'DT', 'JJ', 'NN']	[0, 0, 'CP', 'CP', 'CI', 'CI', 'CI', 'CI', 'CI']
1	what was the biggest win in nba history	win	0	the biggest	in nba history	0.0	g	what was the biggest win in nba history	['what', 'was', 'the', 'biggest', 'win', 'in', 'nba', 'history']	['WP', 'VBD', 'DT', 'JJS', 'NN', 'IN', 'JJ', 'NN']	[0, 0, 'CP', 'CP', 'CI', 'CC', 'CC', 'CC']
1	what's the biggest stadium in the us	stadium	0	the biggest	in the us	0.0	g	what's the biggest stadium in the us	"['what', ""'s"", 'the', 'biggest', 'stadium', 'in', 'the', 'us']"	['WP', 'VBZ', 'DT', 'JJS', 'NN', 'IN', 'DT', 'PRP']	[0, 0, 'CP', 'CP', 'CI', 'CC', 'CC', 'CC']
1	where is the biggest waterfall in the united states	waterfall	0	the biggest	in the united states	0.0	g	where is the biggest waterfall in the united states	['where', 'is', 'the', 'biggest', 'waterfall', 'in', 'the', 'united', 'states']	['WRB', 'VBZ', 'DT', 'JJS', 'NN', 'IN', 'DT', 'JJ', 'NNS']	[0, 0, 'CP', 'CP', 'CI', 'CC', 'CC', 'CC', 'CC']
1	where was the biggest great white shark found	where	great white shark found	the biggest	0	0.0	g	where was the biggest great white shark found	['where', 'was', 'the', 'biggest', 'great', 'white', 'shark', 'found']	['WRB', 'VBD', 'DT', 'JJS', 'JJ', 'JJ', 'NN', 'VBD']	['CI', 0, 'CP', 'CP', 'CA', 'CA', 'CA', 'CA']
1	which airport is the biggest in the united states	airport	0	the biggest	in the united states	0.0	g	which airport is the biggest in the united states	['which', 'airport', 'is', 'the', 'biggest', 'in', 'the', 'united', 'states']	['WDT', 'NN', 'VBZ', 'DT', 'JJS', 'IN', 'DT', 'JJ', 'NNS']	[0, 'CI', 0, 'CP', 'CP', 'CC', 'CC', 'CC', 'CC']
1	which is the biggest state in the united states of america	state	0	the biggest	in the united states of america	0.0	g	which is the biggest state in the united states of america	['which', 'is', 'the', 'biggest', 'state', 'in', 'the', 'united', 'states', 'of', 'america']	['WDT', 'VBZ', 'DT', 'JJS', 'NN', 'IN', 'DT', 'JJ', 'NNS', 'IN', 'NN']	[0, 0, 'CP', 'CP', 'CI', 'CC', 'CC', 'CC', 'CC', 'CC', 'CC']
1	which is the biggest word in english dictionary	word	0	the biggest	in english dictionary	0.0	g	which is the biggest word in _NAMED_ENTITY_ dictionary	['which', 'is', 'the', 'biggest', 'word', 'in', 'english', 'dictionary']	['WDT', 'VBZ', 'DT', 'JJS', 'NN', 'IN', 'JJ', 'NN']	[0, 0, 'CP', 'CP', 'CI', 'CC', 'CC', 'CC']
1	who had the biggest thighs in the nfl	who	0	the biggest	thighs in the nfl	0.0	g	who had the biggest thighs in the nfl	['who', 'had', 'the', 'biggest', 'thighs', 'in', 'the', 'nfl']	['WP', 'VBD', 'DT', 'JJS', 'NNS', 'IN', 'DT', 'NN']	['CI', 0, 'CP', 'CP', 'CC', 'CC', 'CC', 'CC']
1	who has the biggest brain in the world	who	0	the biggest	brain in the world	0.0	g	who has the biggest brain in the world	['who', 'has', 'the', 'biggest', 'brain', 'in', 'the', 'world']	['WP', 'VBZ', 'DT', 'JJS', 'NN', 'IN', 'DT', 'NN']	['CI', 0, 'CP', 'CP', 'CC', 'CC', 'CC', 'CC']
1	who has the biggest ship on deadliest catch	who	0	the biggest	ship on deadliest catch	0.0	g	who has the biggest ship on deadliest catch	['who', 'has', 'the', 'biggest', 'ship', 'on', 'deadliest', 'catch']	['WP', 'VBZ', 'DT', 'JJS', 'NN', 'IN', 'JJS', 'NN']	['CI', 0, 'CP', 'CP', 'CC', 'CC', 'CC', 'CC']
1	what is the busiest hurricane season on record	hurricane season	0	the busiest	on record	0.0	g	what is the busiest hurricane season on record	['what', 'is', 'the', 'busiest', 'hurricane', 'season', 'on', 'record']	['WP', 'VBZ', 'DT', 'JJS', 'NN', 'NN', 'IN', 'NN']	[0, 0, 'CP', 'CP', 'CI', 'CI', 'CC', 'CC']
1	what is the central aim of the paris agreement	aim of the paris agreement	0	the central	0	0.0	g	what is the central aim of the paris agreement	['what', 'is', 'the', 'central', 'aim', 'of', 'the', 'paris', 'agreement']	['WP', 'VBZ', 'DT', 'JJ', 'NN', 'IN', 'DT', 'NN', 'NN']	[0, 0, 'CP', 'CP', 'CI', 'CI', 'CI', 'CI', 'CI']
1	what is the coldest temperature recorded in new york state	temperature	0	the coldest	recorded in new york state	0.0	g	what is the coldest temperature recorded in new york state	['what', 'is', 'the', 'coldest', 'temperature', 'recorded', 'in', 'new', 'york', 'state']	['WP', 'VBZ', 'DT', 'JJS', 'NN', 'VBN', 'IN', 'JJ', 'NN', 'NN']	[0, 0, 'CP', 'CP', 'CI', 'CC', 'CC', 'CC', 'CC', 'CC']
1	the deepest layer of the pericardium and pleura is the	layer of the pericardium and pleura	0	the deepest	0	0.0	g	the deepest layer of the pericardium and pleura is the	['the', 'deepest', 'layer', 'of', 'the', 'pericardium', 'and', 'pleura', 'is', 'the']	['DT', 'JJS', 'NN', 'IN', 'DT', 'NN', 'CC', 'NN', 'VBZ', 'DT']	['CP', 'CP', 'CI', 'CI', 'CI', 'CI', 'CI', 'CI', 0, 0]
1	where is the deepest part of lake geneva	part of lake geneva	0	the deepest	0	0.0	g	where is the deepest part of lake geneva	['where', 'is', 'the', 'deepest', 'part', 'of', 'lake', 'geneva']	['WRB', 'VBZ', 'DT', 'JJS', 'NN', 'IN', 'NN', 'NN']	[0, 0, 'CP', 'CP', 'CI', 'CI', 'CI', 'CI']
1	which is the deepest hole in the world	hole	0	the deepest	in the world	0.0	g	which is the deepest hole in the world	['which', 'is', 'the', 'deepest', 'hole', 'in', 'the', 'world']	['WDT', 'VBZ', 'DT', 'JJS', 'NN', 'IN', 'DT', 'NN']	[0, 0, 'CP', 'CP', 'CI', 'CC', 'CC', 'CC']
1	describe the difference between a shared pair and an unshared pair of electrons	a shared pair; an unshared pair of electrons	0	the difference	0	0.0	g	describe the difference between a shared pair and an unshared pair of electrons	['describe', 'the', 'difference', 'between', 'a', 'shared', 'pair', 'and', 'an', 'unshared', 'pair', 'of', 'electrons']	['VB', 'DT', 'NN', 'IN', 'DT', 'VBN', 'NN', 'CC', 'DT', 'JJ', 'NN', 'IN', 'NNS']	[0, 'CP', 'CP', 0, 'CI', 'CI', 'CI', 0, 'CI', 'CI', 'CI', 'CI', 'CI']
1	problem 3. what are the two types of solid solution what is the difference between them	the two types of solid solution	0	the difference	0	0.0	g	problem _NAMED_ENTITY_. what are the _NAMED_ENTITY_ types of solid solution what is the difference between them	['problem', '3', '.', 'what', 'are', 'the', 'two', 'types', 'of', 'solid', 'solution', 'what', 'is', 'the', 'difference', 'between', 'them']	['NN', 'CD', '.', 'WP', 'VBP', 'DT', 'CD', 'NNS', 'IN', 'JJ', 'NN', 'WP', 'VBZ', 'DT', 'NN', 'IN', 'PRP']	[0, 0, 0, 0, 0, 'CI', 'CI', 'CI', 'CI', 'CI', 'CI', 0, 0, 'CP', 'CP', 0, 0]
1	the difference between a nova and an x-ray burst is that	a nova; an x-ray burst	0	the difference	0	0.0	g	the difference between a nova and an x-ray burst is that	['the', 'difference', 'between', 'a', 'nova', 'and', 'an', 'x', '-', 'ray', 'burst', 'is', 'that']	['DT', 'NN', 'IN', 'DT', 'NN', 'CC', 'DT', 'SYM', 'HYPH', 'NN', 'NN', 'VBZ', 'DT']	['CP', 'CP', 0, 'CI', 'CI', 0, 'CI', 'CI', 'CI', 'CI', 'CI', 0, 0]
1	the difference between house of representatives and senate	house of representatives; senate	0	the difference	0	0.0	g	the difference between house of representatives and senate	['the', 'difference', 'between', 'house', 'of', 'representatives', 'and', 'senate']	['DT', 'NN', 'IN', 'NN', 'IN', 'NNS', 'CC', 'NN']	['CP', 'CP', 0, 'CI', 'CI', 'CI', 0, 'CI']
1	the difference in the college 3 point line in nba	the college 3 point line in nba	0	the difference	0	0.0	g	the difference in the college _NAMED_ENTITY_ point line in nba	['the', 'difference', 'in', 'the', 'college', '3', 'point', 'line', 'in', 'nba']	['DT', 'NN', 'IN', 'DT', 'NN', 'CD', 'NN', 'NN', 'IN', 'NN']	['CP', 'CP', 0, 'CI', 'CI', 'CI', 'CI', 'CI', 'CI', 'CI']
1	what is the difference between a bernese mountain dog and a swiss mountain dog	a bernese mountain dog; a swiss mountain dog	0	the difference	0	0.0	g	what is the difference between a bernese mountain dog and a swiss mountain dog	['what', 'is', 'the', 'difference', 'between', 'a', 'bernese', 'mountain', 'dog', 'and', 'a', 'swiss', 'mountain', 'dog']	['WP', 'VBZ', 'DT', 'NN', 'IN', 'DT', 'JJ', 'NN', 'NN', 'CC', 'DT', 'JJ', 'NN', 'NN']	[0, 0, 'CP', 'CP', 0, 'CI', 'CI', 'CI', 'CI', 0, 'CI', 'CI', 'CI', 'CI']
1	what is the difference between a lawyer and an attorney in south africa	a lawyer; an attorney	0	the difference	in south africa	0.0	g	what is the difference between a lawyer and an attorney in south africa	['what', 'is', 'the', 'difference', 'between', 'a', 'lawyer', 'and', 'an', 'attorney', 'in', 'south', 'africa']	['WP', 'VBZ', 'DT', 'NN', 'IN', 'DT', 'NN', 'CC', 'DT', 'NN', 'IN', 'JJ', 'NN']	[0, 0, 'CP', 'CP', 0, 'CI', 'CI', 0, 'CI', 'CI', 'CC', 'CC', 'CC']
1	what is the difference between a lie and an exaggeration	a lie; an exaggeration	0	the difference	0	0.0	g	what is the difference between a lie and an exaggeration	['what', 'is', 'the', 'difference', 'between', 'a', 'lie', 'and', 'an', 'exaggeration']	['WP', 'VBZ', 'DT', 'NN', 'IN', 'DT', 'NN', 'CC', 'DT', 'NN']	[0, 0, 'CP', 'CP', 0, 'CI', 'CI', 0, 'CI', 'CI']
1	what is the difference between a measurement and an observation	a measurement; an observation	0	the difference	0	0.0	g	what is the difference between a measurement and an observation	['what', 'is', 'the', 'difference', 'between', 'a', 'measurement', 'and', 'an', 'observation']	['WP', 'VBZ', 'DT', 'NN', 'IN', 'DT', 'NN', 'CC', 'DT', 'NN']	[0, 0, 'CP', 'CP', 0, 'CI', 'CI', 0, 'CI', 'CI']
1	what is the difference between a state senator and a united states senator	a state senator; a united states senator	0	the difference	0	0.0	g	what is the difference between a state senator and a united states senator	['what', 'is', 'the', 'difference', 'between', 'a', 'state', 'senator', 'and', 'a', 'united', 'states', 'senator']	['WP', 'VBZ', 'DT', 'NN', 'IN', 'DT', 'NN', 'NN', 'CC', 'DT', 'JJ', 'NNS', 'NN']	[0, 0, 'CP', 'CP', 0, 'CI', 'CI', 'CI', 0, 'CI', 'CI', 'CI', 'CI']
1	what is the difference between a valley and a hollow	a valley; a hollow	0	the difference	0	0.0	g	what is the difference between a valley and a hollow	['what', 'is', 'the', 'difference', 'between', 'a', 'valley', 'and', 'a', 'hollow']	['WP', 'VBZ', 'DT', 'NN', 'IN', 'DT', 'NN', 'CC', 'DT', 'NN']	[0, 0, 'CP', 'CP', 0, 'CI', 'CI', 0, 'CI', 'CI']
1	what is the difference between air brakes and hydraulic brakes	air brakes; hydraulic brakes	0	the difference	0	0.0	g	what is the difference between air brakes and hydraulic brakes	['what', 'is', 'the', 'difference', 'between', 'air', 'brakes', 'and', 'hydraulic', 'brakes']	['WP', 'VBZ', 'DT', 'NN', 'IN', 'NN', 'NNS', 'CC', 'JJ', 'NNS']	[0, 0, 'CP', 'CP', 0, 'CI', 'CI', 0, 'CI', 'CI']
1	what is the difference between ampa receptors and nmda receptors	ampa receptors; nmda receptors	0	the difference	0	0.0	g	what is the difference between ampa receptors and nmda receptors	['what', 'is', 'the', 'difference', 'between', 'ampa', 'receptors', 'and', 'nmda', 'receptors']	['WP', 'VBZ', 'DT', 'NN', 'IN', 'NN', 'NNS', 'CC', 'NN', 'NNS']	[0, 0, 'CP', 'CP', 0, 'CI', 'CI', 0, 'CI', 'CI']
1	what is the difference between an equivalency credit and a course challenge	an equivalency credit; a course challenge	0	the difference	0	0.0	g	what is the difference between an equivalency credit and a course challenge	['what', 'is', 'the', 'difference', 'between', 'an', 'equivalency', 'credit', 'and', 'a', 'course', 'challenge']	['WP', 'VBZ', 'DT', 'NN', 'IN', 'DT', 'NN', 'NN', 'CC', 'DT', 'NN', 'NN']	[0, 0, 'CP', 'CP', 0, 'CI', 'CI', 'CI', 0, 'CI', 'CI', 'CI']
1	what is the difference between ansi lumens and lumens	ansi lumens; lumens	0	the difference	0	0.0	g	what is the difference between ansi lumens and lumens	['what', 'is', 'the', 'difference', 'between', 'ansi', 'lumens', 'and', 'lumens']	['WP', 'VBZ', 'DT', 'NN', 'IN', 'NN', 'NNS', 'CC', 'NNS']	[0, 0, 'CP', 'CP', 0, 'CI', 'CI', 0, 0]
1	what is the difference between baptist church and christian church	baptist church; christian church	0	the difference	0	0.0	g	what is the difference between baptist church and christian church	['what', 'is', 'the', 'difference', 'between', 'baptist', 'church', 'and', 'christian', 'church']	['WP', 'VBZ', 'DT', 'NN', 'IN', 'JJ', 'NN', 'CC', 'JJ', 'NN']	[0, 0, 'CP', 'CP', 0, 'CI', 'CI', 0, 'CI', 'CI']
1	what is the difference between bn and bsc nursing	bn; bsc nursing	0	the difference	0	0.0	g	what is the difference between bn and bsc nursing	['what', 'is', 'the', 'difference', 'between', 'bn', 'and', 'bsc', 'nursing']	['WP', 'VBZ', 'DT', 'NN', 'IN', 'NN', 'CC', 'NNS', 'NN']	[0, 0, 'CP', 'CP', 0, 'CI', 0, 'CI', 'CI']
1	what is the difference between c5 and c6 christmas lights	c5; c6 christmas lights	0	the difference	0	0.0	g	what is the difference between c5 and c6 christmas lights	['what', 'is', 'the', 'difference', 'between', 'c5', 'and', 'c6', 'christmas', 'lights']	['WP', 'VBZ', 'DT', 'NN', 'IN', 'NN', 'CC', 'VB', 'NN', 'NNS']	[0, 0, 'CP', 'CP', 0, 'CI', 0, 'CI', 'CI', 'CI']
1	what is the difference between canapes and hors d oeuvres	canapes; hors d oeuvres	0	the difference	0	0.0	g	what is the difference between canapes and hors d oeuvres	['what', 'is', 'the', 'difference', 'between', 'canapes', 'and', 'hors', 'd', 'oeuvres']	['WP', 'VBZ', 'DT', 'NN', 'IN', 'NNS', 'CC', 'NNS', 'SYM', 'NNS']	[0, 0, 'CP', 'CP', 0, 'CI', 0, 'CI', 'CI', 'CI']
1	what is the difference between cape and csec	cape; csec	0	the difference	0	0.0	g	what is the difference between cape and csec	['what', 'is', 'the', 'difference', 'between', 'cape', 'and', 'csec']	['WP', 'VBZ', 'DT', 'NN', 'IN', 'NN', 'CC', 'NNS']	[0, 0, 'CP', 'CP', 0, 'CI', 0, 'CI']
1	what is the difference between cardinal and intermediate directions	cardinal; intermediate directions	0	the difference	0	0.0	g	what is the difference between cardinal and intermediate directions	['what', 'is', 'the', 'difference', 'between', 'cardinal', 'and', 'intermediate', 'directions']	['WP', 'VBZ', 'DT', 'NN', 'IN', 'JJ', 'CC', 'JJ', 'NNS']	[0, 0, 'CP', 'CP', 0, 'CI', 0, 'CI', 'CI']
1	what is the difference between department and directorate	department; directorate	0	the difference	0	0.0	g	what is the difference between department and directorate	['what', 'is', 'the', 'difference', 'between', 'department', 'and', 'directorate']	['WP', 'VBZ', 'DT', 'NN', 'IN', 'NN', 'CC', 'NN']	[0, 0, 'CP', 'CP', 0, 'CI', 0, 'CI']
1	what is the difference between donald duck and daffy duck	donald duck; daffy duck	0	the difference	0	0.0	g	what is the difference between donald duck and daffy duck	['what', 'is', 'the', 'difference', 'between', 'donald', 'duck', 'and', 'daffy', 'duck']	['WP', 'VBZ', 'DT', 'NN', 'IN', 'NN', 'NN', 'CC', 'JJ', 'NN']	[0, 0, 'CP', 'CP', 0, 'CI', 'CI', 0, 'CI', 'CI']
1	what is the difference between east and west coast rap	east; west coast rap	0	the difference	0	0.0	g	what is the difference between east and west coast rap	['what', 'is', 'the', 'difference', 'between', 'east', 'and', 'west', 'coast', 'rap']	['WP', 'VBZ', 'DT', 'NN', 'IN', 'NN', 'CC', 'JJ', 'NN', 'NN']	[0, 0, 'CP', 'CP', 0, 'CI', 0, 'CI', 'CI', 'CI']
1	what is the difference between jpmorgan and jpmorgan chase	jpmorgan; jpmorgan chase	0	the difference	0	0.0	g	what is the difference between jpmorgan and jpmorgan chase	['what', 'is', 'the', 'difference', 'between', 'jpmorgan', 'and', 'jpmorgan', 'chase']	['WP', 'VBZ', 'DT', 'NN', 'IN', 'NN', 'CC', 'NN', 'NN']	[0, 0, 'CP', 'CP', 0, 'CI', 0, 'CI', 'CI']
1	what is the difference between king and lord	king; lord	0	the difference	0	0.0	g	what is the difference between king and lord	['what', 'is', 'the', 'difference', 'between', 'king', 'and', 'lord']	['WP', 'VBZ', 'DT', 'NN', 'IN', 'NN', 'CC', 'NN']	[0, 0, 'CP', 'CP', 0, 'CI', 0, 'CI']
1	what is the difference between scene and act	scene; act	0	the difference	0	0.0	g	what is the difference between scene and act	['what', 'is', 'the', 'difference', 'between', 'scene', 'and', 'act']	['WP', 'VBZ', 'DT', 'NN', 'IN', 'NN', 'CC', 'NN']	[0, 0, 'CP', 'CP', 0, 'CI', 0, 'CI']
1	what is the difference between staff of asclepius and caduceus	staff of asclepius; caduceus	0	the difference	0	0.0	g	what is the difference between staff of asclepius and caduceus	['what', 'is', 'the', 'difference', 'between', 'staff', 'of', 'asclepius', 'and', 'caduceus']	['WP', 'VBZ', 'DT', 'NN', 'IN', 'NN', 'IN', 'NN', 'CC', 'VB']	[0, 0, 'CP', 'CP', 0, 'CI', 'CI', 'CI', 0, 'CI']
1	what is the difference between teller 1 2 and 3	teller 1; 2; 3	0	the difference	0	0.0	g	what is the difference between teller _NAMED_ENTITY_ and 3	['what', 'is', 'the', 'difference', 'between', 'teller', '1', '2', 'and', '3']	['WP', 'VBZ', 'DT', 'NN', 'IN', 'NN', 'CD', 'CD', 'CC', 'CD']	[0, 0, 'CP', 'CP', 0, 'CI', 'CI', 'CI', 0, 'CI']
1	what is the difference between type 1 and type 2 seyfert galaxies	type 1; type 2 seyfert galaxies	0	the difference	0	0.0	g	what is the difference between type _NAMED_ENTITY_ and type _NAMED_ENTITY_ seyfert galaxies	['what', 'is', 'the', 'difference', 'between', 'type', '1', 'and', 'type', '2', 'seyfert', 'galaxies']	['WP', 'VBZ', 'DT', 'NN', 'IN', 'NN', 'CD', 'CC', 'NN', 'CD', 'NN', 'NNS']	[0, 0, 'CP', 'CP', 0, 'CI', 'CI', 0, 'CI', 'CI', 'CI', 'CI']
1	what is the difference between yahweh and adonai	yahweh; adonai	0	the difference	0	0.0	g	what is the difference between yahweh and adonai	['what', 'is', 'the', 'difference', 'between', 'yahweh', 'and', 'adonai']	['WP', 'VBZ', 'DT', 'NN', 'IN', 'NN', 'CC', 'NN']	[0, 0, 'CP', 'CP', 0, 'CI', 0, 'CI']
1	what the difference between european cup and champions league	european cup; champions league	0	the difference	0	0.0	g	what the difference between european cup and champions league	['what', 'the', 'difference', 'between', 'european', 'cup', 'and', 'champions', 'league']	['WP', 'DT', 'NN', 'IN', 'JJ', 'NN', 'CC', 'NNS', 'NN']	[0, 'CP', 'CP', 0, 'CI', 'CI', 0, 'CI', 'CI']
1	what was the difference in the message of the communist and socialist parties	the message of the communist; socialist parties	0	the difference	0	1.0	g	what was the difference in the message of the communist and socialist parties	['what', 'was', 'the', 'difference', 'in', 'the', 'message', 'of', 'the', 'communist', 'and', 'socialist', 'parties']	['WP', 'VBD', 'DT', 'NN', 'IN', 'DT', 'NN', 'IN', 'DT', 'JJ', 'CC', 'JJ', 'NNS']	[0, 0, 'CP', 'CP', 0, 'CI', 'CI', 'CI', 'CI', 'CI', 0, 'CI', 'CI']
1	what's the difference between a nucleotide and a nucleoside	a nucleotide; a nucleoside	0	the difference	0	0.0	g	what's the difference between a nucleotide and a nucleoside	"['what', ""'s"", 'the', 'difference', 'between', 'a', 'nucleotide', 'and', 'a', 'nucleoside']"	['WP', 'VBZ', 'DT', 'NN', 'IN', 'DT', 'NN', 'CC', 'DT', 'NN']	[0, 0, 'CP', 'CP', 0, 'CI', 'CI', 0, 'CI', 'CI']
1	what's the difference between a proclamation and a declaration	a proclamation; a declaration	0	the difference	0	0.0	g	what's the difference between a proclamation and a declaration	"['what', ""'s"", 'the', 'difference', 'between', 'a', 'proclamation', 'and', 'a', 'declaration']"	['WP', 'VBZ', 'DT', 'NN', 'IN', 'DT', 'NN', 'CC', 'DT', 'NN']	[0, 0, 'CP', 'CP', 0, 'CI', 'CI', 0, 'CI', 'CI']
1	what's the difference between a specialist and a generalist	a specialist; a generalist	0	the difference	0	0.0	g	what's the difference between a specialist and a generalist	"['what', ""'s"", 'the', 'difference', 'between', 'a', 'specialist', 'and', 'a', 'generalist']"	['WP', 'VBZ', 'DT', 'NN', 'IN', 'DT', 'NN', 'CC', 'DT', 'NN']	[0, 0, 'CP', 'CP', 0, 'CI', 'CI', 0, 'CI', 'CI']
1	what's the difference between cbc and fbc	cbc; fbc	0	the difference	0	0.0	g	what's the difference between cbc and fbc	"['what', ""'s"", 'the', 'difference', 'between', 'cbc', 'and', 'fbc']"	['WP', 'VBZ', 'DT', 'NN', 'IN', 'NN', 'CC', 'NN']	[0, 0, 'CP', 'CP', 0, 'CI', 0, 'CI']
1	what's the difference between de jure and de facto	de jure; de facto	0	the difference	0	0.0	g	what's the difference between de jure and de facto	"['what', ""'s"", 'the', 'difference', 'between', 'de', 'jure', 'and', 'de', 'facto']"	['WP', 'VBZ', 'DT', 'NN', 'IN', 'FW', 'NN', 'CC', 'FW', 'FW']	[0, 0, 'CP', 'CP', 0, 'CI', 'CI', 0, 'CI', 'CI']
1	what's the difference between lord and sir	lord; sir	0	the difference	0	0.0	g	what's the difference between lord and sir	"['what', ""'s"", 'the', 'difference', 'between', 'lord', 'and', 'sir']"	['WP', 'VBZ', 'DT', 'NN', 'IN', 'NN', 'CC', 'NN']	[0, 0, 'CP', 'CP', 0, 'CI', 0, 'CI']
1	what's the difference between minecraft story mode and the complete adventure	minecraft story mode; the complete adventure	0	the difference	0	0.0	g	what's the difference between minecraft story mode and the complete adventure	"['what', ""'s"", 'the', 'difference', 'between', 'minecraft', 'story', 'mode', 'and', 'the', 'complete', 'adventure']"	['WP', 'VBZ', 'DT', 'NN', 'IN', 'NN', 'NN', 'NN', 'CC', 'DT', 'JJ', 'NN']	[0, 0, 'CP', 'CP', 0, 'CI', 'CI', 'CI', 0, 'CI', 'CI', 'CI']
1	what's the difference between pvz free and pvz	pvz free; pvz	0	the difference	0	0.0	g	what's the difference between pvz free and pvz	"['what', ""'s"", 'the', 'difference', 'between', 'pvz', 'free', 'and', 'pvz']"	['WP', 'VBZ', 'DT', 'NN', 'IN', 'NN', 'JJ', 'CC', 'FW']	[0, 0, 'CP', 'CP', 0, 'CI', 'CI', 0, 0]
1	what's the difference between shazam and black adam	shazam; black adam	0	the difference	0	0.0	g	what's the difference between shazam and black adam	"['what', ""'s"", 'the', 'difference', 'between', 'shazam', 'and', 'black', 'adam']"	['WP', 'VBZ', 'DT', 'NN', 'IN', 'NN', 'CC', 'JJ', 'NN']	[0, 0, 'CP', 'CP', 0, 'CI', 0, 'CI', 'CI']
1	whats the difference between texas holdem and poker	texas holdem; poker	0	the difference	0	0.0	g	whats the difference between texas holdem and poker	['what', 's', 'the', 'difference', 'between', 'texas', 'holdem', 'and', 'poker']	['WP', 'VBZ', 'DT', 'NN', 'IN', 'NN', 'NN', 'CC', 'NN']	[0, 0, 'CP', 'CP', 0, 'CI', 'CI', 0, 'CI']
1	what are the differences in windows 10 versions	windows 10 versions	0	the differences	0	0.0	g	what are the differences in windows _NAMED_ENTITY_ versions	['what', 'are', 'the', 'differences', 'in', 'windows', '10', 'versions']	['WP', 'VBP', 'DT', 'NNS', 'IN', 'NNS', 'CD', 'NNS']	[0, 0, 'CP', 'CP', 0, 'CI', 'CI', 'CI']
1	what is one of the differences between jainism and hinduism	jainism; hinduism	0	the differences	0	0.0	g	what is one of the differences between jainism and hinduism	['what', 'is', 'one', 'of', 'the', 'differences', 'between', 'jainism', 'and', 'hinduism']	['WP', 'VBZ', 'CD', 'IN', 'DT', 'NNS', 'IN', 'NN', 'CC', 'NN']	[0, 0, 0, 0, 'CP', 'CP', 0, 'CI', 0, 'CI']
1	the different indian satellites and their significant uses	indian satellites	0	the different	and their significant uses	1.0	g	the different indian satellites and their significant uses	['the', 'different', 'indian', 'satellites', 'and', 'their', 'significant', 'uses']	['DT', 'JJ', 'JJ', 'NNS', 'CC', 'PRP$', 'JJ', 'NNS']	['CP', 'CP', 'CI', 'CI', 'CC', 'CC', 'CC', 'CC']
1	what are the different types of t cells and their functions	types	0	the different	their functions; of t cells	0.0	g	what are the different types of t cells and their functions	['what', 'are', 'the', 'different', 'types', 'of', 't', 'cells', 'and', 'their', 'functions']	['WP', 'VBP', 'DT', 'JJ', 'NNS', 'IN', 'NN', 'NNS', 'CC', 'PRP$', 'NNS']	[0, 0, 'CP', 'CP', 'CI', 'CC', 'CC', 'CC', 0, 'CC', 'CC']
1	what do the different pedals on a piano do	pedals on a piano	0	the different	0	0.0	g	what do the different pedals on a piano do	['what', 'do', 'the', 'different', 'pedals', 'on', 'a', 'piano', 'do']	['WP', 'VBP', 'DT', 'JJ', 'NNS', 'IN', 'DT', 'NN', 'VB']	[0, 0, 'CP', 'CP', 'CI', 'CI', 'CI', 'CI', 0]
1	what is the dominant climate type for san diego	climate type	0	the dominant	for san diego	0.0	g	what is the dominant climate type for san diego	['what', 'is', 'the', 'dominant', 'climate', 'type', 'for', 'san', 'diego']	['WP', 'VBZ', 'DT', 'JJ', 'NN', 'NN', 'IN', 'JJ', 'NN']	[0, 0, 'CP', 'CP', 'CI', 'CI', 'CC', 'CC', 'CC']
1	who won the espy for best nba player	who	0	the espy	for best nba player	0.0	g	who won the espy for best nba player	['who', 'won', 'the', 'espy', 'for', 'best', 'nba', 'player']	['WP', 'VBD', 'DT', 'NN', 'IN', 'JJS', 'JJ', 'NN']	['CI', 0, 'CP', 'CP', 'CC', 'CC', 'CC', 'CC']
1	who holds the record for the farthest home run	who	0	the farthest	home run	0.0	g	who holds the record for the farthest home run	['who', 'holds', 'the', 'record', 'for', 'the', 'farthest', 'home', 'run']	['WP', 'VBZ', 'DT', 'NN', 'IN', 'DT', 'JJS', 'NN', 'NN']	['CI', 0, 0, 0, 0, 'CP', 'CP', 'CC', 'CC']
1	who has the faster internet in the world	internet	0	the faster	in the world	0.0	g	who has the faster internet in the world	['who', 'has', 'the', 'faster', 'internet', 'in', 'the', 'world']	['WP', 'VBZ', 'DT', 'JJR', 'NN', 'IN', 'DT', 'NN']	[0, 0, 'CP', 'CP', 'CI', 'CC', 'CC', 'CC']
1	the fastest car in the world street legal	car	0	the fastest	in the world street legal	0.0	g	the fastest car in the world street legal	['the', 'fastest', 'car', 'in', 'the', 'world', 'street', 'legal']	['DT', 'JJS', 'NN', 'IN', 'DT', 'NN', 'NN', 'JJ']	['CP', 'CP', 'CI', 'CC', 'CC', 'CC', 'CC', 'CC']
1	which is the fastest running train on indian railways	running train	0	the fastest	on indian railways	0.0	g	which is the fastest running train on indian railways	['which', 'is', 'the', 'fastest', 'running', 'train', 'on', 'indian', 'railways']	['WDT', 'VBZ', 'DT', 'JJS', 'VBG', 'NN', 'IN', 'JJ', 'NNS']	[0, 0, 'CP', 'CP', 'CI', 'CI', 'CC', 'CC', 'CC']
